code,uri,label
AAMA,chear:AAMA,N-Acetyl-S-(2-carbamoylethyl)-L-cysteine
AMA,chear:AMA,Mercapturic acids of acrolein and crotonaldehyde
AMCC,chear:AMCC,N-Acetyl-S-(N-methylcarbamoyl)-L-cysteine
ATCA,chear:ATCA,2-Aminothiazoline-4-carboxylic acid
BAA1,chear:BAA1,1-hydroxybenz[a]anthacene
BAPT,chear:BAPT,Benzo[a]pyrene tetraol
BCP1,chear:BCP1,1-hydroxybenzo[c]-phenanthrene
BCP2,chear:BCP2,2-hydroxybenzo[c]-phenanthrene
BCP3,chear:BCP3,3-hydroxybenzo[c]-phenanthrene
BDE100,chear:BDE100,"2,2',4,4',6-Pentabromodiphenyl ether"
BDE153,chear:BDE153,"2,2',4,4',5,5'-Hexabromodiphenyl ether"
BDE154,chear:BDE154,"2,2',4,4',5,6'-Hexabromodiphenyl ether"
BDE17,chear:BDE17,"2,2',4'-Tribromodiphenyl ether"
BDE183,chear:BDE183,"2,2',3,4,4',5',6-Heptabromodiphenyl ether"
BDE209,chear:BDE209,"2,2',3,3',4,4',5,5',6,6'-Decabromodiphenyl ether"
BDE28,chear:BDE28,"2,4,4'-Tribromodiphenyl ether"
BDE47,chear:BDE47,"2,2',4,4'-Tetrabromodiphenyl ether"
BDE66,chear:BDE66,"2,3',4,4'-Tetrabromodiphenyl ether"
BDE85,chear:BDE85,"2,2',3,4,4'-Pentabromodiphenyl ether"
BDE99,chear:BDE99,"2,2',4,4',5-Pentabromodiphenyl ether"
BMA,chear:BMA,N-Acetyl-S-(benzyl)-L-cysteine
BP3,chear:BP3,Benzophenone-3
BPMA,chear:BPMA,N-Acetyl-S-(n-propyl)-L-cysteine
BU,chear:BuccalCell,Buccal Cell
CEMA,chear:CEMA,N-Acetyl-S- (2-carboxyethyl)-L-cysteine
CHRY3,chear:CHRY3,3-hydroxychrysene
COTT,chear:COTT,Cotinine (total)
CYMA,chear:CYMA,N-Acetyl-S-(2-cyanoethyl)-L-cysteine
DCVMA12,chear:DCVMA12,"N-Acetyl-S-(1,2-dichlorovinyl)-L-cysteine"
DCVMA22,chear:DCVMA22,"N-Acetyl-S-(2,2-dichlorovinyl)-L-cysteine"
DEDP,chear:DEDP,diethyldithiophosphate
DEP,chear:DEP,diethylphosphate
DETP,chear:DETP,diethylthiophosphate
DHBMA,chear:DHBMA,"N-Acetyl-S- (3,4-dihydroxybutyl)-L-cysteine"
